emit_id,geometry,cloud_cover,centroid_x,centroid_y,cluster,region,fold
EMIT_L1B_RAD_001_20230403T111814_2309308_036,"POLYGON ((4.8768616 30.7911644, 4.2005129 30.1659241, 4.7394104 29.5829735, 5.4157591 30.2082138, 4.8768616 30.7911644))",0,4.808135999999999,30.18706895,7.0,hassi,train
EMIT_L1B_RAD_001_20231223T104823_2335707_002,"POLYGON ((8.0070391 32.3363991, 7.4857774 31.7373962, 8.120801 31.1847839, 8.6420631 31.7837868, 8.0070391 32.3363991))",0,8.063920183070158,31.76059150266413,1.0,hassi,train
EMIT_L1B_RAD_001_20231223T104835_2335707_003,"POLYGON ((8.6190405 31.8067455, 8.0903597 31.2136097, 8.7111139 30.6603107, 9.2397947 31.2534466, 8.6190405 31.8067455))",1,8.665077201334833,31.23352811671293,1.0,hassi,train
EMIT_L1B_RAD_001_20230131T115219_2303108_039,"POLYGON ((5.4254904 31.7412167, 4.729248 31.1176205, 5.2558193 30.529707, 5.9520617 31.1533031, 5.4254904 31.7412167))",3,5.340654852343733,31.135461833401727,7.0,hassi,train
EMIT_L1B_RAD_001_20230403T111802_2309308_035,"POLYGON ((4.2900491 30.2516003, 3.6241183 29.6260319, 4.1665206 29.0486355, 4.8324513 29.6742039, 4.2900491 30.2516003))",4,4.228284816598157,29.650117899332827,0.0,hassi,train
EMIT_L1B_RAD_001_20231003T104922_2327607_035,"POLYGON ((4.3444815 29.9874115, 3.6845551 29.3621674, 4.2239962 28.7928047, 4.8839226 29.4180489, 4.3444815 29.9874115))",5,4.284238848311102,29.390108116587978,0.0,hassi,train
EMIT_L1B_RAD_001_20231015T140933_2328809_015,"POLYGON ((7.027298 32.0996017, 6.5074797 31.5128593, 7.1310596 30.9604034, 7.650878 31.5471458, 7.027298 32.0996017))",6,7.079178833287935,31.53000255049841,5.0,hassi,train
EMIT_L1B_RAD_001_20230131T115207_2303108_038,"POLYGON ((4.8254938 31.2067966, 4.1405449 30.5825977, 4.6710634 30.0004444, 5.3560123 30.6246433, 4.8254938 31.2067966))",6,4.748278600000001,30.603620499999998,7.0,hassi,train
EMIT_L1B_RAD_001_20230228T085123_2305906_008,"POLYGON ((7.7145443 32.2282829, 7.1918073 31.6342087, 7.8198414 31.0815887, 8.3425789 31.675663, 7.7145443 32.2282829))",6,7.767193017917318,31.654935819713643,1.0,hassi,train
EMIT_L1B_RAD_001_20231015T140944_2328809_016,"POLYGON ((7.6286469 31.5700626, 7.1063251 30.9869976, 7.7269573 30.4310246, 8.249279 31.0140896, 7.6286469 31.5700626))",7,7.677802066700693,31.00054359960575,1.0,hassi,train
EMIT_L1B_RAD_001_20230925T140047_2326809_035,"POLYGON ((3.6711888 30.3793297, 2.9993963 29.7529335, 3.5383344 29.1749344, 4.2101269 29.8013306, 3.6711888 30.3793297))",7,3.6047615999999993,29.777132050000002,0.0,hassi,train
