 11 4218.192091 1.424E-30 1.493E-04.06510.235 2880.83420.62-.003760          0 1 1          0 0 0 13  0 13       14  4 10      432230807294713152    27.0   29.0
 11 4218.252568 1.544E-23 6.374E-01.06010.336 1216.23130.540.003717          0 0 1          0 0 0 10  5  6        9  3  7      587777788156922851    21.0   19.0
 11 4218.263068 1.659E-28 9.111E-07.07810.371  757.78020.670.000000          0 0 1          0 0 0  8  5  4        6  4  2     q5322308079917122 0    17.0   13.0
 11 4218.603926 1.405E-27 9.705E-04.05520.235 2073.51560.590.000600          0 0 1          0 0 0 13  5  9       14  1 14      534223807260713049    81.0   87.0
 11 4218.857735 6.447E-29 3.331E+00.05820.195 4221.03940.580.007030          1 0 0          0 0 0 18  7 11       17  6 12      334233807360713049    37.0   35.0
 11 4219.020386 4.847E-27 8.470E-02.05200.298 2705.13960.48-.010310          1 1 0          0 1 0 11  2  9       10  1 10      434223807294713152    69.0   63.0
 11 4219.342427 5.615E-30 3.926E-05.07060.250 2533.79310.65-.007120          1 1 0          0 0 0 12  1 12       13  4  9      432230807294713152    75.0   81.0
 11 4219.346037 1.062E-28 1.245E-06.06460.315 1201.92150.600.000000          0 0 1          0 0 0 11  3  9        9  2  7     q5422308079917122 0    69.0   57.0
 11 4219.460557 5.215E-26 2.570E-04.08940.415  709.60820.61-.005390          0 0 1          0 0 0  7  6  1        7  2  6      587777788156922851    15.0   15.0
 11 4219.514615 1.669E-30 6.143E+00.01870.195 5324.66760.11-.015510          1 0 0          0 0 0 18 12  7       17 11  6      332230807360713049   111.0  105.0
 11 4220.056108 4.019E-29 4.649E+00.02800.195 4612.79040.23-.018120          1 0 0          0 0 0 18  9 10       17  8  9      334233807360713049   111.0  105.0
 11 4220.319313 4.821E-28 8.789E-07.07810.371  756.72480.670.000000          0 0 1          0 0 0  8  5  3        6  4  3     q5422308079917122 0    51.0   39.0
 11 4220.321500 1.958E-27 4.472E-01.02080.265 3266.76430.21-.005240          0 2 0          0 0 0 13 11  2       12 10  3      434223807260713049    81.0   75.0
 11 4220.321502 6.526E-28 4.471E-01.02080.265 3266.76430.21-.005240          0 2 0          0 0 0 13 11  3       12 10  2      434223807260713049    27.0   25.0
 11 4220.532468 2.959E-30 9.457E-07.08090.298 1616.45310.75-.006660          1 0 0          0 0 0  9  9  1       10  4  6      432230807360713049    19.0   21.0
